group,names,scores,logfoldchanges,pvals,pvals_adj
0,CCL5,126.912796,,0.0,0.0
0,NKG7,117.38587,,0.0,0.0
0,GZMA,102.35078,,0.0,0.0
0,CST7,88.965485,,0.0,0.0
0,HCST,87.017845,,0.0,0.0
0,CCL4,86.032936,,0.0,0.0
0,PTPRC,80.36914,,0.0,0.0
0,B2M,75.377144,,0.0,0.0
0,IL32,72.57013,,0.0,0.0
0,TMSB4X,66.93442,,0.0,0.0
0,KLRD1,66.82186,,0.0,0.0
0,GZMK,65.67396,,0.0,0.0
0,ID2,64.848854,,0.0,0.0
0,CD8A,64.400894,,0.0,0.0
0,LCP1,62.63498,,0.0,0.0
0,CD2,61.70328,,0.0,0.0
0,RUNX3,61.193333,,0.0,0.0
0,GZMH,59.91745,,0.0,0.0
0,PRF1,58.44292,,0.0,0.0
0,TRGC2,56.52244,,0.0,0.0
0,FYN,55.46026,,0.0,0.0
0,SAMD3,54.306316,,0.0,0.0
0,GZMM,53.18774,,0.0,0.0
0,HLA-B,53.127213,,0.0,0.0
0,CTSW,51.533768,,0.0,0.0
0,IKZF3,50.736343,,0.0,0.0
0,APOBEC3G,50.50639,,0.0,0.0
0,IL2RB,50.322105,,0.0,0.0
0,HLA-A,50.201714,,0.0,0.0
0,PYHIN1,50.19606,,0.0,0.0
0,CD3E,49.68234,,0.0,0.0
0,CD96,49.649975,,0.0,0.0
0,CD3D,49.616837,,0.0,0.0
0,LINC01871,49.297085,,0.0,0.0
0,CD7,48.903996,,0.0,0.0
0,CD3G,48.87317,,0.0,0.0
0,EVL,48.07695,,0.0,0.0
0,PTPN22,48.007633,,0.0,0.0
0,IFNG,47.725136,,0.0,0.0
0,HLA-C,47.53681,,0.0,0.0
0,RNF213,46.880028,,0.0,0.0
0,XCL2,46.84563,,0.0,0.0
0,AC245297.3,46.214443,,0.0,0.0
0,MYL12A,45.951523,,0.0,0.0
0,CLEC2B,45.09577,,0.0,0.0
0,CMC1,45.03395,,0.0,0.0
0,ETS1,44.863712,,0.0,0.0
0,SH3BGRL3,44.54782,,0.0,0.0
0,GZMB,44.53804,,0.0,0.0
0,PPP2R5C,44.071606,,0.0,0.0
1,IL7R,73.67636,,0.0,0.0
1,RPL34,66.32977,,0.0,0.0
1,RPL30,65.69197,,0.0,0.0
1,RPS27,64.46421,,0.0,0.0
1,RPS12,63.93426,,0.0,0.0
1,RPS29,62.9192,,0.0,0.0
1,RPL32,62.560318,,0.0,0.0
1,RPL13,61.248924,,0.0,0.0
1,RPS14,60.924557,,0.0,0.0
1,RPS15A,60.1008,,0.0,0.0
1,RPS28,59.69168,,0.0,0.0
1,RPS27A,59.626137,,0.0,0.0
1,RPL39,59.350098,,0.0,0.0
1,RPL9,58.845573,,0.0,0.0
1,RPL11,58.25297,,0.0,0.0
1,RPL37,57.771652,,0.0,0.0
1,RPL38,57.59174,,0.0,0.0
1,RPS3,57.19866,,0.0,0.0
1,TPT1,57.147743,,0.0,0.0
1,RPS21,56.46553,,0.0,0.0
1,RPS3A,56.358913,,0.0,0.0
1,RPLP2,55.85342,,0.0,0.0
1,RPL36,55.716652,,0.0,0.0
1,RPL14,55.55441,,0.0,0.0
1,RPL35A,55.114082,,0.0,0.0
1,RPS25,54.857697,,0.0,0.0
1,RPL21,54.10312,,0.0,0.0
1,RPS16,52.673286,,0.0,0.0
1,RPS18,52.26219,,0.0,0.0
1,RPL10,51.648396,,0.0,0.0
1,RPS6,51.579636,,0.0,0.0
1,RPS13,50.94817,,0.0,0.0
1,RPL28,50.707653,,0.0,0.0
1,RPL5,50.164722,,0.0,0.0
1,RPS23,49.93146,,0.0,0.0
1,RPL19,49.82894,,0.0,0.0
1,RPL26,49.44019,,0.0,0.0
1,RPL23A,49.35035,,0.0,0.0
1,RPL22,48.859516,,0.0,0.0
1,RPS10,48.772034,,0.0,0.0
1,RPL41,48.466564,,0.0,0.0
1,RPL18,48.105164,,0.0,0.0
1,RPS15,47.63929,,0.0,0.0
1,RPL27A,47.194923,,0.0,0.0
1,RPL10A,46.30229,,0.0,0.0
1,RPL3,46.116943,,0.0,0.0
1,RPL13A,46.092937,,0.0,0.0
1,RPL27,45.09886,,0.0,0.0
1,RPLP1,45.084736,,0.0,0.0
1,RPL6,44.938248,,0.0,0.0
2,BANK1,112.98279,,0.0,0.0
2,HLA-DRA,112.415245,,0.0,0.0
2,MS4A1,111.838135,,0.0,0.0
2,CD37,110.56235,,0.0,0.0
2,CD79A,109.808975,,0.0,0.0
2,CD74,109.744484,,0.0,0.0
2,HLA-DQA1,106.81558,,0.0,0.0
2,HLA-DPB1,103.91069,,0.0,0.0
2,HLA-DPA1,100.98913,,0.0,0.0
2,CD83,100.97474,,0.0,0.0
2,HLA-DRB1,99.590126,,0.0,0.0
2,HLA-DQB1,98.687584,,0.0,0.0
2,TNFRSF13C,96.987755,,0.0,0.0
2,MEF2C,92.63478,,0.0,0.0
2,HLA-DQA2,92.57638,,0.0,0.0
2,HLA-DRB5,91.272934,,0.0,0.0
2,VPREB3,89.60226,,0.0,0.0
2,LY9,88.366585,,0.0,0.0
2,RALGPS2,86.18492,,0.0,0.0
2,IGHM,85.336845,,0.0,0.0
2,CXCR4,84.546616,,0.0,0.0
2,BCL11A,82.89414,,0.0,0.0
2,CD79B,82.33751,,0.0,0.0
2,RPS23,78.95845,,0.0,0.0
2,IRF8,78.76145,,0.0,0.0
2,RPS8,77.30165,,0.0,0.0
2,JUND,75.79823,,0.0,0.0
2,LAPTM5,75.13714,,0.0,0.0
2,ARHGAP24,74.57028,,0.0,0.0
2,SWAP70,74.16376,,0.0,0.0
2,HLA-DMB,73.90778,,0.0,0.0
2,HERPUD1,73.29372,,0.0,0.0
2,RPS11,73.15569,,0.0,0.0
2,HLA-DMA,73.07739,,0.0,0.0
2,ADAM28,72.34828,,0.0,0.0
2,CD55,72.196625,,0.0,0.0
2,KLF2,71.67309,,0.0,0.0
2,RPL13A,71.03989,,0.0,0.0
2,SNX2,70.52684,,0.0,0.0
2,IGKC,70.510414,,0.0,0.0
2,CD22,68.833244,,0.0,0.0
2,FAU,68.375305,,0.0,0.0
2,BTG1,68.289085,,0.0,0.0
2,BASP1,68.251785,,0.0,0.0
2,RPL18A,68.13104,,0.0,0.0
2,TCF4,67.40837,,0.0,0.0
2,SMIM14,67.34257,,0.0,0.0
2,RPS5,67.159836,,0.0,0.0
2,SMAP2,66.5586,,0.0,0.0
2,NCF1,66.555626,,0.0,0.0
3,TRAC,57.817554,,0.0,0.0
3,CD3D,52.145603,,0.0,0.0
3,CD2,51.872654,,0.0,0.0
3,SPOCK2,51.25125,,0.0,0.0
3,SRGN,48.42043,,0.0,0.0
3,CD3E,47.335934,,0.0,0.0
3,IL7R,47.01367,,0.0,0.0
3,FYB1,46.37667,,0.0,0.0
3,ICOS,45.753445,,0.0,0.0
3,TRBC2,45.637806,,0.0,0.0
3,TNFAIP3,43.029774,,0.0,0.0
3,CTLA4,42.703625,,0.0,0.0
3,IL32,42.63798,,0.0,0.0
3,RORA,40.892548,,0.0,0.0
3,LTB,40.841625,,0.0,0.0
3,B2M,40.14011,,0.0,0.0
3,CREM,39.896152,,0.0,0.0
3,SARAF,39.695553,,0.0,0.0
3,CD3G,38.149826,,0.0,0.0
3,TIGIT,37.882504,,0.0,0.0
3,BATF,37.55639,,1.108154070005826e-308,1.2759671406940995e-305
3,TRBC1,37.05297,,1.6085101749774335e-300,1.774923956830307e-297
3,ETS1,36.59633,,3.271537843671289e-293,3.46560546855787e-290
3,RGCC,36.073483,,5.909918518525563e-285,6.0197066202350966e-282
3,BCL11B,35.947285,,5.580982388374068e-283,5.474116910789275e-280
3,S100A4,35.936176,,8.322003815298731e-283,7.871129537162724e-280
3,FYN,35.904217,,2.6253153439130887e-282,2.397456077684494e-279
3,AC058791.1,35.50366,,4.316460795237421e-276,3.810427708009087e-273
3,STK17B,35.38199,,3.23140586583404e-274,2.7605587595123507e-271
3,BTG1,35.341145,,1.3714736527956792e-273,1.1350230233433742e-270
3,ARID5B,35.13653,,1.8667444930028335e-270,1.4540292472998248e-267
3,MAF,35.034,,6.833724042784582e-269,5.170786109287546e-266
3,PTPRC,34.653824,,3.912378412832875e-263,2.8003112839744062e-260
3,LEPROTL1,34.491573,,1.0730018521619637e-260,7.477975802843495e-258
3,CD28,34.425476,,1.0485051819863308e-259,7.119887880652307e-257
3,JUNB,34.293095,,9.946096795206918e-258,6.58506203568662e-255
3,UBC,34.14424,,1.6279219787670305e-255,1.0515184820411528e-252
3,DNAJA1,33.74159,,1.4202596917819486e-249,8.95541367082413e-247
3,PIK3IP1,33.37613,,3.044363403476876e-244,1.8323608185063207e-241
3,ITM2A,33.343014,,9.198045096116514e-244,5.4131517395656366e-241
3,TNFRSF4,33.29833,,4.082015596762249e-243,2.3500873706316227e-240
3,TBC1D4,32.959446,,3.0978301914540734e-238,1.7455284459633666e-235
3,SOD1,32.85465,,9.77607370388772e-237,5.393744997917885e-234
3,ANKRD12,32.674736,,3.5694128457884056e-234,1.8905752079002868e-231
3,NR3C1,32.5511,,2.020064817137984e-232,1.048968167691475e-229
3,CNOT6L,32.53198,,3.7660023507252064e-232,1.9179815433510702e-229
3,RGS1,31.84346,,1.621430205426613e-222,7.80733384187509e-220
3,TPT1,31.693937,,1.8832317003525866e-220,8.906004485792419e-218
3,HSPA8,31.337795,,1.426800272946323e-215,6.629114320778503e-213
3,DDX24,31.010456,,3.8966033288820525e-211,1.779202516530748e-208
4,JUN,54.97177,,0.0,0.0
4,INTS6,50.66592,,0.0,0.0
4,IER2,50.609474,,0.0,0.0
4,HEXIM1,49.603012,,0.0,0.0
4,MALAT1,49.427227,,0.0,0.0
4,GADD45B,47.83157,,0.0,0.0
4,FUS,47.08804,,0.0,0.0
4,SRSF7,46.33894,,0.0,0.0
4,PPP1R10,45.589756,,0.0,0.0
