group,names,scores,logfoldchanges,pvals,pvals_adj
B,TRAC,40.934593,,0.0,0.0
B,RGS1,38.574245,,0.0,0.0
B,ICOS,38.32078,,0.0,0.0
B,SRGN,37.36005,,1.7414305522110624e-305,3.547561947246582e-302
B,SPOCK2,37.317192,,8.636928724261752e-305,1.633798452890171e-301
Endothelial,IGFBP7,35.62971,,4.858553323725906e-278,1.2866906767223317e-273
Endothelial,SPARCL1,34.731964,,2.5949269283471506e-264,3.4360724921708796e-260
Endothelial,GNG11,34.606785,,1.997347246308115e-262,1.7631915707992603e-258
Endothelial,A2M,33.40565,,1.1349547222198137e-244,6.94529413769329e-241
Endothelial,PECAM1,33.401333,,1.3112740508426708e-244,6.94529413769329e-241
Epithelial,KRT18,85.51993,,0.0,0.0
Epithelial,KRT8,84.56467,,0.0,0.0
Epithelial,KRT19,81.91353,,0.0,0.0
Epithelial,S100A6,80.36951,,0.0,0.0
Epithelial,PIGR,78.85899,,0.0,0.0
Fibro,IGFBP7,51.70204,,0.0,0.0
Fibro,CALD1,51.347145,,0.0,0.0
Fibro,SPARC,49.57085,,0.0,0.0
Fibro,COL3A1,48.888752,,0.0,0.0
Fibro,MYL9,48.65774,,0.0,0.0
Myeloid,FOS,38.99585,,0.0,0.0
Myeloid,FOSB,38.608692,,0.0,0.0
Myeloid,GADD45B,38.586758,,0.0,0.0
Myeloid,VIM,38.49415,,0.0,0.0
Myeloid,SAT1,37.02518,,4.505886178576106e-300,2.38658767334462e-296
NK,BANK1,112.98279,,0.0,0.0
NK,HLA-DRA,112.415245,,0.0,0.0
NK,MS4A1,111.838135,,0.0,0.0
NK,CD37,110.56235,,0.0,0.0
NK,CD79A,109.808975,,0.0,0.0
Proliferative,HMGB2,40.433598,,0.0,0.0
Proliferative,HMGB1,39.51202,,0.0,0.0
Proliferative,HMGN2,39.343918,,0.0,0.0
Proliferative,STMN1,37.260834,,7.075096508293125e-304,4.6842445207281704e-300
Proliferative,MKI67,36.945137,,8.717650457654354e-299,4.617390741401205e-295
T,CCL5,97.27747,,0.0,0.0
T,HCST,85.96879,,0.0,0.0
T,PTPRC,85.61358,,0.0,0.0
T,NKG7,81.64619,,0.0,0.0
T,CD2,79.613144,,0.0,0.0
Unknown,RGS13,14.413031,,4.284854910265321e-47,1.6210830369793783e-43
Unknown,H3F3A,13.213053,,7.377033078575383e-40,1.628049725165932e-36
Unknown,KIT,13.04804,,6.520310829248685e-39,1.2334099406499494e-35
Unknown,LMO4,10.814015,,2.954474271541037e-27,3.7258734349152994e-24
Unknown,PRDX6,10.748056,,6.0523308751369985e-27,6.968864285489267e-24
