Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,cluster
GO_Biological_Process_2021,hemidesmosome assembly (GO:0031581),3/12,3.183301843206519e-06,0.0011555385690839,0,0,141.4255319148936,1790.1066225817303,ITGB4;ITGA6;PLEC,0
GO_Biological_Process_2021,cell-substrate junction assembly (GO:0007044),3/34,8.329713391830358e-05,0.0151184298061721,0,0,41.01372683596431,385.24589055488593,ITGB4;ITGA6;PLEC,0
GO_Biological_Process_2021,skin morphogenesis (GO:0043589),2/7,0.00012760097078443218,0.0154397174649162,0,0,166.20833333333334,1490.3240703269437,ITGB4;ITGA6,0
GO_Biological_Process_2021,cellular response to zinc ion (GO:0071294),2/18,0.000913470506242016,0.0660628151105125,0,0,51.911458333333336,363.2898548418271,MT2A;MT1E,0
GO_Biological_Process_2021,cellular response to copper ion (GO:0071280),2/19,0.0010193089566942,0.0660628151105125,0,0,48.85539215686274,336.54673838088314,MT2A;MT1E,0
GO_Biological_Process_2021,collagen fibril organization (GO:0030199),3/89,0.0014352931477222,0.0660628151105125,0,0,14.743196437407224,96.51465720793364,ITGB4;ITGA6;PLEC,0
GO_Biological_Process_2021,response to copper ion (GO:0046688),2/23,0.0014985033958486,0.0660628151105125,0,0,39.54166666666666,257.15086234948103,MT2A;MT1E,0
GO_Biological_Process_2021,regulation of monocyte chemotaxis (GO:0090025),2/26,0.0019157650058532,0.0660628151105125,0,0,34.59375,216.47517339281177,S100A14;NBL1,0
GO_Biological_Process_2021,cellular response to cadmium ion (GO:0071276),2/27,0.0020657293545543,0.0660628151105125,0,0,33.208333333333336,205.3029465636782,MT2A;MT1E,0
GO_Biological_Process_2021,cellular zinc ion homeostasis (GO:0006882),2/28,0.0022210873543451,0.0660628151105125,0,0,31.92948717948718,195.08145262248803,MT2A;MT1E,0
GO_Biological_Process_2021,response to cadmium ion (GO:0046686),2/29,0.0023818121959682,0.0660628151105125,0,0,30.74537037037037,185.6987673947897,MT2A;MT1E,0
GO_Biological_Process_2021,response to zinc ion (GO:0010043),2/29,0.0023818121959682,0.0660628151105125,0,0,30.74537037037037,185.6987673947897,MT2A;MT1E,0
GO_Biological_Process_2021,Golgi to plasma membrane protein transport (GO:0043001),2/30,0.0025478771667966,0.0660628151105125,0,0,29.64583333333333,177.0595839464994,KRT18;KIF13A,0
GO_Biological_Process_2021,zinc ion homeostasis (GO:0055069),2/30,0.0025478771667966,0.0660628151105125,0,0,29.64583333333333,177.0595839464994,MT2A;MT1E,0
