group,names,scores,logfoldchanges,pvals,pvals_adj
0,NKG7,55.10101,,0.0,0.0
0,CCL5,53.38211,,0.0,0.0
0,CST7,53.063564,,0.0,0.0
0,GZMK,50.173134,,0.0,0.0
0,GZMA,43.25278,,0.0,0.0
0,CD8A,39.03629,,0.0,0.0
0,CCL4,38.547184,,0.0,0.0
0,ID2,37.009785,,7.97103274422728e-300,2.638710752067138e-296
0,TRGC2,36.349304,,2.695004943441951e-289,7.930201768574798e-286
0,HLA-DPB1,36.22328,,2.6186589847287725e-287,6.934994589257208e-284
0,HLA-B,35.8602,,1.2754765679105686e-281,3.0707678134523266e-278
0,HSPA1B,35.777317,,2.488795880009768e-280,5.49256510752489e-277
0,CMC1,35.71172,,2.600448961496939e-279,5.297514603640265e-276
0,B2M,35.6142,,8.445835514234598e-278,1.5976504423105347e-274
0,HSPA1A,34.38491,,4.2386522856069253e-259,7.483481898648547e-256
0,KLRG1,34.376495,,5.66220146200903e-259,9.372005082399071e-256
0,HCST,34.302143,,7.290717479749361e-258,1.1357651236247196e-254
0,PLEK,33.96031,,8.591206834763289e-253,1.264005170027979e-249
0,GZMM,33.852932,,3.286112599718121e-251,4.580322104122894e-248
0,IER2,33.624477,,7.36318373229649e-248,9.749959739120398e-245
0,HLA-DPA1,33.371586,,3.5429611254975335e-244,4.468011404121485e-241
0,GZMH,32.074474,,1.000830957479361e-225,1.2047730112239053e-222
0,DNAJB1,31.728449,,6.297164301103534e-221,7.250774008092387e-218
0,DTHD1,31.302952,,4.253948231713159e-215,4.694054625852483e-212
0,SRSF7,31.00876,,4.107139724792007e-211,4.350775253266669e-208
0,IL32,29.399445,,5.5820999772410955e-190,5.685798219125998e-187
0,PPP1R10,29.02168,,3.505178210020075e-185,3.3152726619986304e-182
0,PYHIN1,28.557213,,2.2855801085730947e-179,2.0872075177703886e-176
0,UBB,28.52143,,6.353954542790181e-179,5.4281218760229796e-176
0,CYBA,28.075949,,1.926715382477993e-173,1.5462182870958997e-170
0,UBC,27.7733,,9.117557932253129e-170,6.7072301866627674e-167
0,CD81,27.677835,,1.2908206512911793e-168,9.239136029228189e-166
0,GADD45B,27.576193,,2.147863030635145e-167,1.4968909642186984e-164
0,H3F3B,27.290066,,5.564920890295404e-164,3.684394998442329e-161
0,HLA-DRB5,26.683018,,7.41068806193837e-157,4.78676224254424e-154
0,HLA-C,26.631613,,2.922931674855346e-156,1.843047608218908e-153
0,SH2D1A,26.10751,,2.9958824386373757e-150,1.845115223777526e-147
0,LCP1,26.02992,,2.27116519960419e-149,1.3669833632072219e-146
0,HSP90AA1,25.823612,,4.8161382341469836e-147,2.7137401884024375e-144
0,SAMD3,25.567852,,3.476696496399781e-144,1.9181948607115705e-141
0,HLA-DRB1,25.406778,,2.1223456744729154e-142,1.1241216099413243e-139
0,CTSC,25.257875,,9.280092836041724e-141,4.726244203401789e-138
0,TUBB4B,24.998123,,6.407414825014231e-138,3.2016522039783373e-135
0,SLAMF7,24.89756,,7.907056611671759e-137,3.8778255601278366e-134
0,CD74,24.884888,,1.084468349579512e-136,5.22181369125713e-134
0,ACTB,24.842352,,3.128008248359266e-136,1.4533165340578675e-133
0,HNRNPA2B1,24.767195,,2.0240150453644518e-135,9.241722490756341e-133
0,PPP2R5C,24.597548,,1.3418778773541709e-133,6.023212173893306e-131
0,KLRD1,24.452358,,4.7499501679390214e-132,2.0965488382921516e-129
0,CD8B,24.328932,,9.689392108339596e-131,4.1387769549218955e-128
1,RPL34,42.922806,,0.0,0.0
1,IL7R,41.770855,,0.0,0.0
1,RPL38,41.358006,,0.0,0.0
1,RPL9,40.58828,,0.0,0.0
1,RPS21,40.559963,,0.0,0.0
1,LTB,40.54717,,0.0,0.0
1,RPL30,39.633823,,0.0,0.0
1,RPS4Y1,39.62869,,0.0,0.0
1,RPL32,39.47877,,0.0,0.0
1,RPS11,39.40595,,0.0,0.0
1,RPL36,39.362343,,0.0,0.0
1,RPL11,39.0946,,0.0,0.0
1,RPL39,38.96538,,0.0,0.0
1,RPLP2,38.66568,,0.0,0.0
1,RPL13,38.663387,,0.0,0.0
1,RPL21,38.40842,,0.0,0.0
1,RPL37A,38.207233,,0.0,0.0
1,RPL27A,37.71973,,0.0,0.0
1,RPS12,37.10116,,2.6912295225258507e-301,2.6396974609278556e-298
